1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
63.4,1.056104,2.837984,2.11225,6.277498,1.056125,3.801473
63.6,1.059417,2.841743,2.118917,6.287956,1.059458,3.806813
63.8,1.062792,2.846702,2.1255,6.295673,1.062771,3.812249
64,1.066146,2.850286,2.132271,6.307713,1.066125,3.818051
64.2,1.069458,2.854045,2.138896,6.318045,1.069479,3.824218
64.4,1.072792,2.857653,2.145542,6.327733,1.072792,3.829527
64.6,1.076125,2.861706,2.15225,6.33769,1.076146,3.834955
64.8,1.079437,2.864814,2.158937,6.349222,1.079458,3.840693
65,1.082792,2.869169,2.165542,6.358806,1.082771,3.845509
65.2,1.086146,2.873532,2.172229,6.366412,1.086104,3.851056
65.4,1.089479,2.877243,2.178917,6.379724,1.089458,3.857652
65.6,1.092813,2.880867,2.185542,6.389022,1.092792,3.863303
65.8,1.096125,2.884579,2.192208,6.397406,1.096125,3.868365
66,1.099417,2.887416,2.198917,6.410734,1.099458,3.874143
66.2,1.102771,2.891596,2.205583,6.420732,1.102771,3.879595
66.4,1.106146,2.89642,2.212188,6.42786,1.106104,3.884975
66.6,1.109458,2.899615,2.218958,6.441792,1.109458,3.891365
66.8,1.112792,2.903287,2.225604,6.45028,1.112813,3.897166
67,1.116125,2.907101,2.232208,6.458465,1.116125,3.902109
67.2,1.119437,2.910399,2.238937,6.470323,1.119458,3.908102
67.4,1.122771,2.914111,2.245604,6.479899,1.122771,3.912902
67.6,1.126125,2.918283,2.252167,6.487409,1.126104,3.917901
67.8,1.129458,2.921939,2.258917,6.500515,1.129458,3.923853
68,1.132813,2.925491,2.265583,6.51017,1.132813,3.930394
68.2,1.136146,2.929075,2.272208,6.519318,1.136146,3.935305
68.4,1.139437,2.932096,2.278938,6.531477,1.139479,3.940527
68.6,1.14275,2.935513,2.285583,6.540187,1.142792,3.945796
68.8,1.146125,2.939916,2.292167,6.549478,1.146104,3.950842
69,1.149479,2.944096,2.298917,6.559491,1.149438,3.956874
69.2,1.152792,2.947211,2.305562,6.570736,1.152812,3.962636
69.4,1.156125,2.950366,2.312167,6.579479,1.156146,3.967961
69.6,1.159438,2.953927,2.318896,6.589977,1.159479,3.973563
69.8,1.16275,2.957273,2.325562,6.601071,1.162792,3.978411
70,1.166125,2.961445,2.332208,6.61087,1.166083,3.983045
70.2,1.169458,2.964727,2.338896,6.618746,1.169438,3.988822
70.4,1.172792,2.968327,2.345583,6.631359,1.172812,3.995125
70.6,1.176125,2.97188,2.35225,6.640577,1.176146,4.000481
70.8,1.179458,2.974749,2.358875,6.648501,1.179458,4.005631
71,1.18275,2.978063,2.365604,6.660613,1.182792,4.011091
71.2,1.186104,2.982235,2.372229,6.669577,1.186104,4.015756
71.4,1.189479,2.986646,2.378833,6.676674,1.189438,4.021327
