"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"110.8","4.944444","1.846125"
"111","4.94833","1.849458"
"111.2","4.952184","1.852771"
"111.4","4.956213","1.856104"
"111.6","4.961022","1.859458"
"111.8","4.96494","1.862792"
"112","4.968627","1.866125"
"112.2","4.972688","1.869458"
"112.4","4.976281","1.872771"
"112.6","4.979881","1.876083"
"112.8","4.984458","1.879458"
"113","4.989084","1.882792"
"113.2","4.99293","1.886125"
"113.4","4.997023","1.889458"
"113.6","5.000623","1.892792"
"113.8","5.004287","1.896104"
"114","5.008236","1.899458"
"114.2","5.013458","1.902812"
"114.4","5.017313","1.906146"
"114.6","5.02108","1.909479"
"114.8","5.025116","1.912792"
"115","5.028367","1.916083"
"115.2","5.03246","1.919438"
"115.4","5.037173","1.922812"
"115.6","5.041099","1.926125"
"115.8","5.044707","1.929458"
"116","5.048736","1.932792"
"116.2","5.052344","1.936104"
"116.4","5.056199","1.939438"
"116.6","5.060879","1.942792"
"116.8","5.06467","1.946146"
"117","5.068477","1.949458"
"117.2","5.072618","1.952792"
"117.4","5.075868","1.956104"
"117.6","5.079325","1.959417"
"117.8","5.083672","1.962792"
"118","5.088409","1.966125"
"118.2","5.091564","1.969458"
"118.4","5.095402","1.972792"
"118.6","5.09967","1.976104"
"118.8","5.102706","1.979417"
"119","5.106703","1.982771"
"119.2","5.111384","1.986146"
"119.4","5.114945","1.989458"
"119.6","5.118608","1.992792"
"119.8","5.122304","1.996125"
"120","5.125618","1.999437"
"120.2","5.129901","2.002771"
"120.4","5.134686","2.006146"
"120.6","5.138119","2.009458"
"120.8","5.141664","2.012792"
"121","5.145303","2.016125"
"121.2","5.148792","2.019438"
"121.4","5.15267","2.022771"
"121.6","5.157097","2.026125"
"121.8","5.160896","2.029458"
"122","5.164544","2.032792"
"122.2","5.168033","2.036125"
"122.4","5.171482","2.039438"
"122.6","5.174939","2.04275"
"122.8","5.179723","2.046125"
"123","5.183856","2.049458"
"123.2","5.18744","2.052792"
"123.4","5.19065","2.056125"
"123.6","5.194569","2.059438"
"123.8","5.197859","2.06275"
"124","5.201483","2.066125"
"124.2","5.205973","2.069479"
"124.4","5.209589","2.072792"
"124.6","5.212998","2.076146"
"124.8","5.21694","2.079458"
"125","5.21969","2.08275"
"125.2","5.22356","2.086104"
"125.4","5.228034","2.089479"
"125.6","5.232143","2.092792"
"125.8","5.235211","2.096125"
"126","5.23924","2.099458"
