"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"115.8","8.640663","3.858896"
"116","8.650668","3.865583"
"116.2","8.657439","3.872229"
"116.4","8.662446","3.878833"
"116.6","8.67424","3.885583"
"116.8","8.680256","3.892229"
"117","8.687551","3.898875"
"117.2","8.698265","3.905604"
"117.4","8.705481","3.912271"
"117.6","8.710694","3.918833"
"117.8","8.722019","3.925604"
"118","8.727924","3.932229"
"118.2","8.734639","3.938854"
"118.4","8.744557","3.945604"
"118.6","8.752076","3.95225"
"118.8","8.758211","3.958854"
"119","8.767335","3.965604"
"119.2","8.775012","3.97225"
"119.4","8.781743","3.978875"
"119.6","8.789659","3.985604"
"119.8","8.798353","3.992271"
"120","8.805203","3.998875"
"120.2","8.810966","4.005583"
"120.4","8.821575","4.01225"
"120.6","8.828704","4.018896"
"120.8","8.834537","4.025562"
"121","8.844995","4.032271"
"121.2","8.851178","4.038917"
"121.4","8.855311","4.0455"
"121.6","8.867025","4.05225"
"121.8","8.872954","4.058896"
"122","8.879487","4.0655"
"122.2","8.889858","4.07225"
"122.4","8.896637","4.078917"
"122.6","8.901851","4.085521"
"122.8","8.913652","4.092292"
"123","8.919175","4.098917"
"123.2","8.925136","4.105521"
"123.4","8.934395","4.11225"
"123.6","8.942294","4.118937"
"123.8","8.946808","4.1255"
"124","8.955352","4.13225"
"124.2","8.96372","4.138896"
"124.4","8.970387","4.145542"
"124.6","8.977373","4.15225"
"124.8","8.985718","4.158937"
"125","8.99291","4.165542"
"125.2","8.998363","4.172208"
"125.4","9.008701","4.178916"
"125.6","9.015862","4.185542"
"125.8","9.021465","4.192208"
"126","9.032154","4.198916"
"126.2","9.038655","4.205583"
"126.4","9.043844","4.212208"
"126.6","9.054947","4.218958"
"126.8","9.060414","4.225604"
"127","9.065826","4.232208"
"127.2","9.07557","4.238937"
"127.4","9.082286","4.245604"
"127.6","9.086609","4.252167"
"127.8","9.097822","4.258937"
"128","9.103227","4.265584"
"128.2","9.109481","4.272187"
"128.4","9.118859","4.278937"
"128.6","9.125431","4.285604"
"128.8","9.131472","4.292167"
"129","9.139657","4.298917"
"129.2","9.147906","4.305562"
"129.4","9.153716","4.312188"
"129.6","9.161655","4.318896"
"129.8","9.170238","4.325562"
"130","9.17635","4.332208"
"130.2","9.182914","4.338896"
"130.4","9.192491","4.345604"
"130.6","9.198403","4.35225"
"130.8","9.203418","4.358896"
"131","9.213138","4.365583"
"131.2","9.219281","4.372229"
"131.4","9.223516","4.378833"
"131.6","9.234746","4.385583"
"131.8","9.240532","4.392229"
"132","9.246421","4.398854"
"132.2","9.256427","4.405604"
"132.4","9.262967","4.412271"
"132.6","9.266996","4.418812"
"132.8","9.278107","4.425604"
"133","9.283463","4.432229"
"133.2","9.289479","4.438833"
"133.4","9.298547","4.445583"
"133.6","9.305461","4.45225"
"133.8","9.310889","4.458833"
"134","9.319695","4.465604"
"134.2","9.326418","4.47225"
"134.4","9.333134","4.478896"
"134.6","9.339293","4.485583"
"134.8","9.347463","4.49225"
"135","9.353645","4.498875"
"135.2","9.359741","4.505562"
"135.4","9.368913","4.51225"
"135.6","9.375191","4.518896"
"135.8","9.38092","4.525562"
"136","9.390386","4.53225"
"136.2","9.396569","4.538896"
"136.4","9.399764","4.545521"
"136.6","9.410922","4.55225"
"136.8","9.416183","4.558896"
"137","9.421556","4.5655"
"137.2","9.431505","4.57225"
"137.4","9.437449","4.578917"
"137.6","9.442337","4.5855"
"137.8","9.452288","4.592271"
"138","9.457803","4.598917"
"138.2","9.463389","4.605521"
"138.4","9.47129","4.61225"
"138.6","9.477925","4.618917"
"138.8","9.482567","4.6255"
"139","9.490641","4.63225"
"139.2","9.498628","4.638896"
"139.4","9.504144","4.645542"
"139.6","9.511232","4.65225"
"139.8","9.519021","4.658916"
"140","9.524632","4.665542"
"140.2","9.529638","4.672229"
"140.4","9.539811","4.678916"
"140.6","9.545223","4.685542"
"140.8","9.550531","4.692208"
"141","9.560323","4.698916"
"141.2","9.566052","4.705583"
"141.4","9.570591","4.712187"
"141.6","9.581327","4.718937"
"141.8","9.586215","4.725583"
"142","9.59065","4.732187"
"142.2","9.600067","4.738937"
"142.4","9.605868","4.745604"
"142.6","9.610049","4.752187"
"142.8","9.619999","4.758937"
"143","9.624696","4.765584"
"143.2","9.631212","4.772187"
"143.4","9.63978","4.778937"
"143.6","9.64586","4.785604"
"143.8","9.651327","4.792167"
"144","9.658186","4.798917"
"144.2","9.66603","4.805562"
"144.4","9.671426","4.812188"
