, kp = 27.000000  ti = 0.000000  td = 0.000000
Time , RPM
14.852,2155
14.862,2155
14.872,2183
14.882,2155
14.892,2155
14.902,2185
14.912,2035
14.922,2155
14.932,2185
14.942,2183
14.952,2155
14.962,2185
14.972,2155
14.982,2155
14.992,2185
15.002,2155
15.012,2185
15.023,2155
